County,Price,square meter (Gross),square meter (net),Room,Building Age,Floor location,Total Floors,Balcony,With Furniture
Arnavutkoy,340000,160,150,5,0,4,4,1,0
Arnavutkoy,350000,110,110,3,0,4,5,1,0
Arnavutkoy,235000,85,80,3,0,2,4,1,0
Arnavutkoy,128000,100,90,3,4,0,4,0,0
Atasehir,369000,80,70,3,1,0,8,0,0
Atasehir,850000,120,76,3,3,6,30,0,0
Atasehir,370000,60,50,2,1,6,11,1,1
Atasehir,710000,82,52,2,6,3,18,0,1
Avcilar,350000,140,125,4,18,2,6,1,1
Avcilar,198500,115,95,3,3,15,17,0,1
Avcilar,191000,120,110,4,17,3,5,1,0
Avcilar,430000,150,140,4,22,3,5,1,0
Bagcilar,465000,80,55,2,4,7,32,1,1
Bagcilar,500000,63,63,2,2,26,34,0,1
Bagcilar,950000,148,115,4,0,10,12,1,0
Bahcelievler,670000,180,175,6,0,5,5,1,0
Bahcelievler,320000,125,115,4,28,3,5,1,0
Bahcelievler,223000,85,70,3,3,0,4,0,1
Bakirkoy,3200000,112,91,3,4,6,8,0,0
Bakirkoy,420000,90,80,3,28,2,4,1,0
Bakirkoy,2000000,180,170,4,6,0,3,1,0
Basaksehir,1875000,202,180,5,2,0,11,1,0
Basaksehir,1690000,276,216,5,0,9,11,1,1
Basaksehir,2377000,208,162,5,2,12,14,1,1
Bayrampasa,1650000,135,120,4,4,8,14,1,1
Bayrampasa,1050000,125,110,3,3,6,9,1,1
Bayrampasa,430000,66,66,2,1,13,23,1,0
Besiktas,6900000,280,260,5,18,2,3,1,0
Besiktas,20000000,290,250,4,5,16,18,1,0
Besiktas,950000,110,85,3,35,4,4,1,1
Beylikduzu,650000,250,220,6,0,4,4,1,0
Beylikduzu,479000,175,160,4,0,2,4,1,0
Beylikduzu,265000,70,60,2,5,6,11,0,1
Beylikduzu,750000,190,180,4,13,14,16,1,1
Beylikduzu,299000,85,75,2,1,15,18,1,1
Beyoglu,475000,75,70,3,23,1,5,1,1
Beyoglu,765000,53,40,1,34,0,5,1,1
Beyoglu,650000,100,100,4,28,0,5,0,1
Beyoglu,1675000,145,130,5,36,3,5,1,1
Buyukcekmece,1550000,210,195,4,8,4,7,1,1
Buyukcekmece,630000,146,115,3,8,0,5,1,1
Buyukcekmece,2600000,400,350,6,4,12,15,1,1
Buyukcekmece,270000,70,55,2,4,7,11,0,1
Catalca,260000,85,83,3,1,2,5,1,1
Catalca,308000,125,116,4,4,0,4,0,1
Esenler,148000,105,90,3,23,3,3,1,1
Esenler,170000,80,70,3,18,0,5,1,1
Esenler,250000,140,130,3,18,4,6,1,1
Esenler,545000,180,160,5,18,5,5,1,1
Esenler,822000,128,91,3,0,9,15,1,1
Kucukcekmece,880000,130,105,4,3,3,3,1,1
Kucukcekmece,780000,93,67,3,4,1,26,1,0
Kucukcekmece,209000,75,65,2,3,0,4,1,1
Kucukcekmece,505000,87,80,2,1,5,5,1,1
Kucukcekmece,305000,60,52,2,7,2,8,0,0
Sisli,335000,75,70,3,1,1,5,1,1
Sisli,430000,120,100,4,1,3,4,1,1
Sisli,200000,80,70,3,1,0,5,0,1
Sisli,286000,90,80,3,2,2,5,0,1
Sisli,180000,95,80,3,1,0,5,0,1
Sultanbeyli,258000,100,85,3,1,2,5,1,0
Sultanbeyli,315000,115,110,4,1,2,4,0,0
Sultanbeyli,228000,85,80,3,2,2,4,1,0
Sultanbeyli,920000,231,220,4,4,7,7,1,0
Sultanbeyli,268000,120,115,3,1,2,6,1,0
Sultanbeyli,315000,100,86,3,1,2,4,0,0
Sancaktepe,338000,178,178,5,1,4,6,0,0
Sancaktepe,310000,140,130,4,1,4,4,1,0
Sultangazi,179000,80,80,2,2,0,5,0,1
Sariyer,500000,52,45,2,4,1,3,1,1
Sariyer,503000,53,40,2,3,3,5,0,0
Maltepe,210000,45,36,1,4,13,30,1,1
Maltepe,690000,140,127,4,1,2,5,1,0
Pendik,865000,320,230,6,4,8,8,1,1
Pendik,230000,65,55,2,2,3,8,0,1
Alibeykoy,359,85,100,4,34,3,5,1,0
Alibeykoy,372.5,85,80,4,0,5,7,0,0
Alibeykoy,275,60,140,4,1,11,13,1,0
Alibeykoy,338,85,140,5,3,8,10,1,0
Atakoy,825,105,92,4,0,12,13,1,0
Atakoy,1.000.000,97,60,3,14,1,6,0,1
Atakoy,1.120.000,134,68,3,0,7,13,0,1
Atakoy,3.200.000,112,70,3,6,2,5,1,0
Bayrampasa,295,95,100,4,23,1,5,1,1
Bayrampasa,451,125,85,3,7,3,7,0,0
Bayrampasa,675,115,85,3,27,1,3,0,1
Besiktas,5.100.000,185,80,3,8,4,9,1,0
Besiktas,8.100.000,145,115,4,28,4,5,1,0
Besiktas,15.000.000,350,70,3,35,2,4,1,1
Besiktas,1.290.000,130,110,4,28,1,4,1,0
Besiktas,830,75,90,3,27,4,4,1,0
Besiktas,975,85,100,4,23,4,5,1,0
Beyoglu,450,135,100,3,35,5,5,0,1
Beyoglu,385,75,85,3,1,4,4,1,1
Beyoglu,280,85,90,3,14,2,3,1,1
Beyoglu,560,65,90,3,23,1,3,1,0
Beyoglu,340,135,180,6,0,5,5,1,0
Beyoglu,565,130,90,3,2,3,5,1,1
Eyupsultan,570,200,85,3,0,12,12,1,1
Eyupsultan,320,95,90,3,1,8,10,1,0
Eyupsultan,420,95, 170,5,7,5,4,1,0
Eyupsultan,450,105,500,6,35,2,5,1,0
Fatih,285,87,110,3,6,4,4,0,0
Fatih,290,80,80,3,23,5,5,1,0
Fatih,550,130,85,3,9,7,6,1,0
Fatih,380,90,74,3,2,4,9,0,0
Gaziosmanpasa,265,90,50,3,10,2,4,0,0
Gaziosmanpasa,354,100,85,3,4,5,5,1,1
Gaziosmanpasa,245,100,100,3,35,4,11,1,0
Gungoren,225,110,68,2,3,4,15,1,1
Gungoren,358,130,105,4,28,11,14,1,0
Gungoren,305,95,91,3,4,6,8,0,0
Gungoren,410,110,165,4,4,3,5,1,0
Kadikoy,1.350.000,110,110,3,8,4,22,1,1
Kadikoy,3.275.000,165,300,6,9,5,5,1,0
Kadikoy,1.195.000,118,87,4,0,3,9,1,0
Kadikoy ,965000,140,60,2,35,1,8,1,0
Kadikoy ,2.750.000,170,67,2,1,4,9,1,1
Kagithane,245,75,90,3,3,1,5,1,0
Kagithane360.000,360,75,120,4,17,2,5,1,0
Kagithane365.000,365,80,105,4,3,1,4,1,0
Kartal,250,125,120,6,4,3,4,1,0
Kartal,328,105,65,3,8,3,5,1,0
Ortakoy,5.850.000, 205,82,3,17,1,5,1,0
Ortakoy,29.000.000,550,55,2,34,1,5,1,1
Ortakoy,4.750.000,120,120,4,21,1,4,1,0
Ortakoy,570,85,115,4,0,3,4,1,0
